geneID,GSM1563547_phoB_1.rpg.txt,GSM1563548_phoB_2.rpg.txt,GSM1563549_PA14_54510_1.rpg.txt,GSM1563550_PA14_54510_2.rpg.txt,GSM1563551_PA14_WT_1.rpg.txt,GSM1563552_PA14_WT_2.rpg.txt
PA14_05870,15,7,49,63,38,41
"PA14_05880,nfeD",12,24,25,15,19,17
PA14_05890,25,25,9,31,16,23
PA14_05910,17,15,9,19,18,23
PA14_05920,58,63,42,52,43,64
"PA14_05950,dbpA",70,61,31,41,32,38
"PA14_05960,cspB",162,203,97,117,67,159
PA14_05970,11,9,11,20,9,11
"PA14_05990,emrA",71,70,44,70,63,61
"PA14_06000,clpA",1544,1295,1351,1972,1743,1725
PA14_06010,182,184,164,190,139,184
PA14_06030,98,134,70,99,63,120
PA14_06040,61,102,65,72,53,69
"PA14_06060,creB",43,59,40,31,24,29
"PA14_06070,creC",30,30,31,28,36,36
"PA14_06080,creD",7,12,14,15,9,14
PA14_06090,4,3,1,1,3,4
PA14_06120,19,26,12,24,24,12
PA14_06130,33,31,25,37,37,29
PA14_06150,139,257,114,157,162,196
"PA14_06160,fiuA",5,10,6,4,0,9
"PA14_06170,fiuR",0,2,1,0,2,1
"PA14_06180,fiuI",1,3,0,3,2,0
"PA14_06190,psfA",16,23,19,33,15,36
PA14_06200,1,0,0,0,0,0
PA14_06210,3,3,11,4,5,3
PA14_06230,1,9,1,1,4,5
PA14_06240,4,8,3,6,5,5
PA14_06250,7,8,5,13,8,4
PA14_06260,27,36,26,33,31,29
"PA14_06270,catD",41,68,42,60,34,41
PA14_06280,19,12,22,30,23,24
"PA14_06290,glcB",659,705,518,945,604,878
PA14_06300,40,93,46,55,46,55
PA14_06310,137,251,102,128,252,130
"PA14_06320,rarD",30,47,29,43,36,40
PA14_06330,62,139,47,70,40,75
"PA14_06340,modR",18,32,14,29,28,31
"PA14_06350,yfiM",4,6,7,2,2,5
"PA14_06360,comF",1,4,0,3,0,1
PA14_06390,38,69,47,38,39,63
PA14_06400,15,11,4,11,10,13
PA14_06420,2,3,1,6,2,9
PA14_06430,3,8,3,9,2,9
"PA14_06450,accC",5,8,9,9,5,11
PA14_06460,8,10,5,11,7,8
PA14_06480,25,11,13,15,14,19
"PA14_06500,bioB",180,169,117,161,136,245
"PA14_06510,bioF",27,56,34,36,54,36
"PA14_06530,bioH",40,29,20,50,74,37
"PA14_06540,bioC",7,10,20,7,18,18
"PA14_06570,bioD",2,4,1,2,5,1
PA14_06580,23,62,20,34,46,25
PA14_06600,764,789,531,786,648,866
PA14_06620,33,41,26,32,29,46
PA14_06640,99,97,85,103,74,94
"PA14_06650,nirN",21,31,17,20,23,28
"PA14_06660,nirE",10,5,5,13,7,8
"PA14_06670,nirJ",31,23,27,33,19,22
"PA14_06680,nirH",9,13,9,8,12,7
"PA14_06690,nirG",8,2,1,7,5,3
"PA14_06700,nirL",12,6,9,13,11,10
"PA14_06710,nirD",7,5,3,4,6,6
"PA14_06720,nirF",15,22,16,42,23,30
"PA14_06730,nirC",5,8,7,12,9,2
"PA14_06740,nirM",24,19,22,26,22,32
"PA14_06750,nirS",138,176,122,186,163,196
"PA14_06770,nirQ",49,36,34,52,40,25
"PA14_06790,nirO",3,3,0,5,4,2
PA14_06800,0,0,1,0,0,0
"PA14_06810,norC",9,7,2,7,7,7
"PA14_06830,norB",29,31,23,21,47,42
"PA14_06840,norD",3,6,5,8,3,3
PA14_06860,5,1,0,1,1,2
"PA14_06870,dnr",22,50,17,19,20,16
"PA14_06875,rsmY",669,892,586,346,712,183
PA14_06880,4,17,9,15,5,6
PA14_06890,8,22,7,22,19,13
PA14_06900,6,1,1,6,3,3
"PA14_06920,argD",4,2,4,9,6,10
PA14_06930,6,4,0,14,3,4
PA14_06940,2,2,3,1,0,5
PA14_06950,33,36,31,44,34,39
PA14_06960,19,24,8,8,12,21
PA14_06970,10,21,3,11,10,14
PA14_06980,80,98,67,107,111,132
PA14_06990,156,276,172,273,171,261
"PA14_07000,dsbB",66,59,48,85,96,71
PA14_07010,4,12,2,7,4,17
PA14_07020,19,21,22,26,8,23
PA14_07030,30,31,22,48,33,57
"PA14_07040,yqjC",37,51,36,55,53,47
PA14_07050,35,40,23,36,20,30
PA14_07060,8,19,6,15,12,12
PA14_07070,223,165,108,137,169,186
"PA14_07090,metK",580,500,602,836,527,967
PA14_07110,297,212,271,471,367,473
"PA14_07130,tktA",593,568,497,810,568,817
PA14_07140,41,21,35,33,34,35
"PA14_07150,hyi",6,16,7,9,4,12
"PA14_07170,epd",59,56,38,69,56,73
"PA14_07190,pgk",194,165,158,178,231,300
PA14_07200,46,29,31,26,37,47
PA14_07210,142,91,77,125,45,113
"PA14_07230,fda",601,808,546,726,458,745
PA14_07240,35,38,23,32,24,51
PA14_07250,26,58,13,25,11,28
PA14_07260,57,64,41,83,73,66
"PA14_07280,yhiN",30,59,24,23,19,31
"PA14_07290,ygjP",40,39,40,46,19,53
PA14_07300,72,59,57,75,92,79
PA14_07310,9,18,4,6,6,5
PA14_07330,99,124,79,119,104,165
PA14_07340,9,6,5,5,5,6
PA14_07355,12,15,11,13,14,8
PA14_07360,20,19,16,17,16,14
PA14_07370,34,47,47,36,19,59
PA14_07380,21,18,10,24,23,34
PA14_07400,28,31,31,34,38,47
PA14_07410,14,6,7,13,17,11
PA14_07420,19,29,28,39,34,40
PA14_07430,595,692,1257,1275,860,1021
PA14_07440,5,5,4,2,0,3
PA14_07450,49,50,40,46,29,52
PA14_07460,5,9,6,2,3,2
PA14_07470,1,2,0,0,0,1
PA14_07480,765,674,745,1034,965,1418
PA14_07500,136,152,113,133,116,128
"PA14_07520,rpoD",2839,2629,2156,3124,2842,3621
"PA14_07530,dnaG",347,413,282,338,214,438
